Click Number,Timestamp,Tab Number,Username,Email,User ID,Session ID,Fingerprint,Birth Year,Account Age,URL Clicked,IP Address,ISP,City,State,Area,Pincode,Country,Country Code,Latitude,Longitude,Connection Type,Connection Speed (Mbps),Latency (ms),Connection Description,Location Tier,User Agent,Screen Resolution,Timezone,Language,Session Start Time,Session End Time,Time Taken (seconds),Interaction Duration (seconds)
1,"2025-09-23T19:05:30.650Z",1,"Pallavi Shah","pallavi654@gmail.com",3210,"u1leno","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:05:20.265Z","2025-09-23T19:05:30.649Z",10.38,10.38
2,"2025-09-23T19:05:56.995Z",1,"Devesh Chowdhury","devesh321@gmail.com",8952,"jcyvto","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:05:46.895Z","2025-09-23T19:05:56.995Z",10.1,10.10
3,"2025-09-23T19:06:24.207Z",1,"Sushma Saha","sushma793@gmail.com",7376,"nq5w4f","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:06:13.719Z","2025-09-23T19:06:24.207Z",10.49,10.49
4,"2025-09-23T19:07:16.547Z",1,"Divya Goyal","divya41@gmail.com",1181,"xjya9v","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:06:41.953Z","2025-09-23T19:07:16.547Z",34.59,34.59
5,"2025-09-23T19:07:43.614Z",1,"Praveen Kapoor","praveen856@gmail.com",3134,"8datzp","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:07:33.309Z","2025-09-23T19:07:43.614Z",10.3,10.30
6,"2025-09-23T19:08:08.945Z",1,"Vaishali Varma","vaishali248@gmail.com",4626,"53b6g3","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:07:58.801Z","2025-09-23T19:08:08.945Z",10.14,10.14
7,"2025-09-23T19:08:28.226Z",1,"Kavya Desai","kavya712@gmail.com",6072,"tjovf1","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:08:17.912Z","2025-09-23T19:08:28.226Z",10.31,10.31
8,"2025-09-23T19:08:52.491Z",1,"Shilpa Wadhwa","shilpa800@gmail.com",3542,"tv1mhj","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:08:41.362Z","2025-09-23T19:08:52.491Z",11.13,11.13
9,"2025-09-23T19:09:36.898Z",1,"Ravi Iyer","ravi109@gmail.com",9489,"xwb2s2","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:09:02.215Z","2025-09-23T19:09:36.898Z",34.68,34.68
10,"2025-09-23T19:09:56.492Z",1,"Devesh Rao","devesh939@gmail.com",7994,"57ykd1","undefined",,,"https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined",,,"undefined",,,"undefined","undefined","undefined","undefined","undefined","undefined","2025-09-23T19:09:46.091Z","2025-09-23T19:09:56.492Z",10.4,10.40
